name,unicode,keywords,definition
carrot,U+1F955,carrot vegetable food,"An orange carrot, shown raw with green leaves attached. Carrot was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. C http://emojipedia.org/carrot/"
potato,U+1F954,vegetable potato food,"An uncooked potato, that may be used for baking, or as part of a larger meal. Not to be confused with the roasted sweet potato. Potato was a http://emojipedia.org/potato/"
bacon,U+1F953,bacon meat food,"Strips of cooked bacon, popular with a range of dishes, sometimes to accompany eggs. Bacon was approved as part of Unicode 9.0 in 2016 and a http://emojipedia.org/bacon/"
cucumber,U+1F952,vegetable cucumber pickle food,"A cucumber, which may also be used as an emoji for a pickle or gherkin. Cucumber was approved as part of Unicode 9.0 in 2016 and added to Em http://emojipedia.org/cucumber/"
avocado,U+1F951,fruit avocado food,"A ripe avocado, cut open and ready to be served. Displayed cut in half, with the stone showing. Avocado was approved as part of Unicode 9.0  http://emojipedia.org/avocado/"
croissant,U+1F950,french bread crescent roll croissant food,"A pastry with a crescent shape. Popular in many countries, but most often associated with France, and Austria. Croissant was approved as par http://emojipedia.org/croissant/"
martial arts uniform,U+1F94B,uniform martial arts taekwondo judo karate,A white uniform used in marital arts such as judo or karate. Held together using a material belt. Known as keikogi in Japanese. Martial Arts http://emojipedia.org/martial-arts-uniform/
boxing glove,U+1F94A,boxing glove,"A padded boxing glove, used in the sport of boxing. Usually red. Boxing Glove was approved as part of Unicode 9.0 in 2016 and added to Emoji http://emojipedia.org/boxing-glove/"
3rd place medal,U+1F949,bronze third medal,3rd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Third Place Medal” and added to Emoji 3.0 in 2016. Copy and past http://emojipedia.org/third-place-medal/
2nd place medal,U+1F948,second medal silver,2nd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Second Place Medal” and added to Emoji 3.0 in 2016. Copy and pas http://emojipedia.org/second-place-medal/
1st place medal,U+1F947,gold medal first,1st Place Medal was approved as part of Unicode 9.0 in 2016 under the name “First Place Medal” and added to Emoji 3.0 in 2016. Copy and past http://emojipedia.org/first-place-medal/
goal net,U+1F945,goal net,Goal Net was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10.2 http://emojipedia.org/goal-net/
spoon,U+1F944,tableware spoon,"A silver spoon, that can be used for soft or liquid foods, such as soup, or dessert. Often paired with the fork and knife. Spoon was approve http://emojipedia.org/spoon/"
tumbler glass,U+1F943,whisky liquor shot tumbler glass,"A flat-bottomed glass, often associated with drinks such as whisky or rum. Shown with ice cubes and liquid inside the glass. Tumbler Glass w http://emojipedia.org/tumbler-glass/"
clinking glasses,U+1F942,celebrate drink clink glass,Two glasses (flutes) of champagne being clinked together in celebration. Similar to the clinking beer mugs emoji. For a bottle of sparkling  http://emojipedia.org/clinking-glasses/
drum,U+1F941,drum drumsticks music,A drum shown with drumsticks. A percussion instrument which is likely to be displayed as a snare drum. Drum was approved as part of Unicode  http://emojipedia.org/drum-with-drumsticks/
wilted flower,U+1F940,wilted flower,"A flower that has died, or wilted due to a lack of water. A petal falls toward the ground. Wilted Flower was approved as part of Unicode 9.0 http://emojipedia.org/wilted-flower/"
person playing handball,U+1F93E,ball handball,Person Playing Handball was approved as part of Unicode 9.0 in 2016 under the name “Handball” and added to Emoji 3.0 in 2016. Copy and paste http://emojipedia.org/handball/
person playing water polo,U+1F93D,water polo,"A person shown in water with a ball, playing the sport of water polo.  Person Playing Water Polo was approved as part of Unicode 9.0 in 2016 http://emojipedia.org/water-polo/"
people wrestling,U+1F93C,wrestler wrestle,Two people in the sport of wrestling. People Wrestling was approved as part of Unicode 9.0 in 2016 under the name “Wrestlers” and added to E http://emojipedia.org/wrestlers/
person fencing,U+1F93A,sword fencing fencer,"A person shown in the sport of fencing, with a Rapier-style sword, mask, and protective clothing. Person Fencing was approved as part of Uni http://emojipedia.org/fencer/"
person juggling,U+1F939,skill multitask juggle balance,"A person juggling between three and five colored balls. The person shown in this emoji generally has the appearance of a man, and wears a ha http://emojipedia.org/juggling/"
person cartwheeling,U+1F938,gymnastics cartwheel,"A person doing a cartwheel, representing the sport of gymnastics. Person Cartwheeling was approved as part of Unicode 9.0 in 2016 under the  http://emojipedia.org/person-doing-cartwheel/"
person shrugging,U+1F937,indifference shrug ignorance doubt,"A person shrugging their shoulders to indicate a lack of knowledge about a particular topic, or a lack of care about the result of a situati http://emojipedia.org/shrug/"
Mrs. Claus,U+1F936,claus mother mrs. celebration christmas,"Mother Christmas, more commonly known as Mrs Claus outside of the United Kingdom. The wife of Father Christmas, displayed as an older woman  http://emojipedia.org/mother-christmas/"
man in tuxedo,U+1F935,tuxedo man groom,"A man dressed for a formal occassion, wearing a tuxedo. This emoji may be used as the gender pair for the bride emoji. Man in Tuxedo was app http://emojipedia.org/man-in-tuxedo/"
selfie,U+1F933,selfie phone camera,A camera (usually a mobile phone camera) held up to take a photo of the person holding it. May be represented by an outstretched hand and ph http://emojipedia.org/selfie/
pregnant woman,U+1F930,woman pregnant,"A pregnant woman, intended to complete the family emoji set. Pregnant Woman was approved as part of Unicode 9.0 in 2016 and added to Emoji 3 http://emojipedia.org/pregnant-woman/"
sneezing face,U+1F927,sneeze gesundheit face,"A face displayed sneezing with a tissue blowing to one side, and closed eyes. Sneezing Face was approved as part of Unicode 9.0 in 2016 and  http://emojipedia.org/sneezing-face/"
person facepalming,U+1F926,exasperation disbelief face palm,"A hand shown pressing against the head of a person, commonly written as facepalm. Used to display frustration or embarrassment at the inepti http://emojipedia.org/face-palm/"
lying face,U+1F925,lie face pinocchio,"A person with a long nose, used to indicate the telling of a lie. Lying Face was approved as part of Unicode 9.0 in 2016 and added to Emoji  http://emojipedia.org/lying-face/"
drooling face,U+1F924,drooling face,"A face shown with drool dripping from one side of the mouth. May be used as a display of desire in a person, object or concept. Not to be co http://emojipedia.org/drooling-face/"
rolling on the floor laughing,U+1F923,laugh rolling floor face,"A character lying on the floor due to an extreme amount of laughter. Face is laughing, possibly with one hand hitting the floor. An emoji ve http://emojipedia.org/rolling-on-the-floor-laughing/"
nauseated face,U+1F922,nauseated face vomit,"A green face, shown with pursed lipsed as though it may be about to vomit. Used literally for sickness, or as a display of disgust. Differs  http://emojipedia.org/nauseated-face/"
clown face,U+1F921,face clown,"A face with distinctively colored face makeup intended to entertain children with physical comedy. May also juggle, or create  balloon anima http://emojipedia.org/clown-face/"
cowboy hat face,U+1F920,cowgirl hat face cowboy,"A face displayed wearing a wide-brimmed cowboy hat. Shown as a yellow smiley, with non-human appearance. Cowboy Hat Face was approved as par http://emojipedia.org/face-with-cowboy-hat/"
crossed fingers,U+1F91E,luck hand finger cross,A fingers crossed emoji which displays the index (first) finger crossed over the middle (second) finger. Commonly used as a gesture indicati http://emojipedia.org/hand-with-index-and-middle-fingers-crossed/
handshake,U+1F91D,hand shake agreement meeting handshake,"Two hands performing a handshake gesture, indicating a cordial greeting between friends or associates. Handshake was approved as part of Uni http://emojipedia.org/handshake/"
right-facing fist,U+1F91C,fist rightwards,"A fist pointing right, which may be used in conjunction with the left-facing fist to complete a fist-bump gesture. Right-facing Fist was app http://emojipedia.org/right-facing-fist/"
left-facing fist,U+1F91B,leftwards fist,"A fist pointing left, which may be used in conjunction with the right-facing fist to complete a fist-bump gesture. Left-facing Fist was appr http://emojipedia.org/left-facing-fist/"
raised back of hand,U+1F91A,backhand raised,"A raised hand, showing the reverse side of the palm. May be paired with the forward-facing raised hand emoji. Raised Back of Hand was approv http://emojipedia.org/raised-back-of-hand/"
call me hand,U+1F919,hand call,"A hand with thumb and little (pinky) finger extended, making a traditional phone-like shape. May be used in conjunction with a face to sugge http://emojipedia.org/call-me-hand/"
sign of the horns,U+1F918,hand horns finger rock-on,"A ""rock on"" hand gesture raising the pinky and index fingers on one hand, which a variety of other meanings. Sign of the Horns was approved  http://emojipedia.org/sign-of-the-horns/"
hugging face,U+1F917,hug face hugging,"A face displayed with an open hands gesture, offering a hug. Hugging Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 http://emojipedia.org/hugging-face/"
robot face,U+1F916,monster face robot,"A robot face, showing a metallic head with eyes and a grill-like mouth that is similar to a grimace. Was available in Gmail prior to its inc http://emojipedia.org/robot-face/"
face with head-bandage,U+1F915,hurt bandage face injury,"A face showing a bandage wrapped around the head. Used to show someone who has been injured. Differs from the face with thermometer, which i http://emojipedia.org/face-with-head-bandage/"
thinking face,U+1F914,thinking face,"A face shown with a single finger and thumb resting on the chin, glancing upward. Used to indicate thinking, or deep thought. Can be paired  http://emojipedia.org/thinking-face/"
nerd face,U+1F913,face geek nerd,"A sterotypically “nerd-like” face with glasses, and buck teeth. Nerd Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 http://emojipedia.org/nerd-face/"
face with thermometer,U+1F912,thermometer ill sick face,"A face shown with a thermometer, presumed to be feeling sick. May be used for a patient in hospital, or for a common cold. Differs from the  http://emojipedia.org/face-with-thermometer/"
money-mouth face,U+1F911,mouth money face,"A face with a bank note showing instead of a tongue, and dollar signs instead of eyes. Indicates a love of money, or a feeling of wealth. Mo http://emojipedia.org/money-mouth-face/"
zipper-mouth face,U+1F910,zipper mouth face,"A face with a zipper displayed instead of a mouth. Used to convey a secret, or that one will not discuss a certain matter with others aka “m http://emojipedia.org/zipper-mouth-face/"
circled M,U+24C2,m circle,"The letter M in a circle, commonly used in to identify a Metro (subway, underground train) station in a city area. Circled M was approved as http://emojipedia.org/circled-latin-capital-letter-m/"
Japanese “acceptable” button,U+1F251,japanese ? “acceptable” ideograph,Japanese “acceptable” Button was approved as part of Unicode 6.0 in 2010 under the name “Circled Ideograph Accept” and added to Emoji 1.0 in http://emojipedia.org/circled-ideograph-accept/
Japanese “bargain” button,U+1F250,japanese ? “bargain” ideograph,Denotes a “good bargain” in Japanese. Japanese “bargain” Button was approved as part of Unicode 6.0 in 2010 under the name “Circled Ideograp http://emojipedia.org/circled-ideograph-advantage/
Japanese “open for business” button,U+1F23A,japanese ? “open for business” ideograph,Means “work” in Japanese.  This Emoji used to mean “open for business” and precedes business hours. CJK Ideographs are characters used in Ch http://emojipedia.org/squared-cjk-unified-ideograph-55b6/
Japanese “discount” button,U+1F239,japanese ? “discount” ideograph,"Symbol for a sale, or bargain prices in Japan (“cut prices”). Literally translated, this character means to cut or divide. CJK Ideographs ar http://emojipedia.org/squared-cjk-unified-ideograph-5272/"
Japanese “application” button,U+1F238,japanese ? “application” ideograph,This Emoji has two meanings. One meaning is “request” in Japanese. An alternative meaning is “monkey” in the Chinese zodiac. It is commonly  http://emojipedia.org/squared-cjk-unified-ideograph-7533/
Japanese “monthly amount” button,U+1F237,“monthly amount” japanese ? ideograph,"CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese cha http://emojipedia.org/squared-cjk-unified-ideograph-6708/"
Japanese “not free of charge” button,U+1F236,“not free of charge” japanese ? ideograph,"This emoji means to own or posses. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all c http://emojipedia.org/squared-cjk-unified-ideograph-6709/"
Japanese “no vacancy” button,U+1F235,“no vacancy” japanese ? ideograph,"This emoji means “full” in Japanese, usually used to denote “full capacity” such as a gas/petrol tank on a car or pre-paid phone card. CJK I http://emojipedia.org/squared-cjk-unified-ideograph-6e80/"
Japanese “passing grade” button,U+1F234,japanese ? ideograph “passing grade”,"Means “agreement” in Japanese. More literally, it means to unite, or join together. CJK Ideographs are characters used in Chinese, Japanese  http://emojipedia.org/squared-cjk-unified-ideograph-5408/"
Japanese “vacancy” button,U+1F233,japanese ? “vacancy” ideograph,This ? character means empty and available in Japanese. This is used in the context of an empty parking space or a vacant hotel room. CJK Id http://emojipedia.org/squared-cjk-unified-ideograph-7a7a/
Japanese “prohibited” button,U+1F232,japanese ? “prohibited” ideograph,"This Emoji means “prohibit, restrict or forbid” in Japanese. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. T http://emojipedia.org/squared-cjk-unified-ideograph-7981/"
Japanese “reserved” button,U+1F22F,japanese ? “reserved” ideograph,This character translates as meaning a finger or toe pointing to indicate a certain direction. CJK Ideographs are characters used in Chinese http://emojipedia.org/squared-cjk-unified-ideograph-6307/
Japanese “free of charge” button,U+1F21A,japanese ? “free of charge” ideograph,"This means to lack, or have none of something. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing s http://emojipedia.org/squared-cjk-unified-ideograph-7121/"
Japanese “service charge” button,U+1F202,japanese ? katakana “service charge”,"Translates as meaning complimentary, or free of charge. For example, a drink that is given ""on the house"" to a regular customer. Japanese “s http://emojipedia.org/squared-katakana-sa/"
Japanese “here” button,U+1F201,japanese “here” katakana ??,"Means “Here” in Japanese, referring to a destination. Japanese “here” Button was approved as part of Unicode 6.0 in 2010 under the name “Squ http://emojipedia.org/squared-katakana-koko/"
record button,U+23FA,record circle,"A record icon, displayed as a circle. Record Button was approved as part of Unicode 7.0 in 2014 under the name “Black Circle for Record” and http://emojipedia.org/black-circle-for-record/"
stop button,U+23F9,stop square,"A stop icon, displayed as a square. Stop Button was approved as part of Unicode 7.0 in 2014 under the name “Black Square for Stop” and added http://emojipedia.org/black-square-for-stop/"
pause button,U+23F8,vertical double bar pause,"A pause icon, displayed as two vertical bars. Pause Button was approved as part of Unicode 7.0 in 2014 under the name “Double Vertical Bar”  http://emojipedia.org/double-vertical-bar/"
hourglass with flowing sand,U+23F3,sand hourglass timer,"An hourglass with sand flowing, representing the passage of time. Hourglass With Flowing Sand was approved as part of Unicode 6.0 in 2010 an http://emojipedia.org/hourglass-with-flowing-sand/"
timer clock,U+23F2,clock timer,Timer Clock was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/timer-clock/
alarm clock,U+23F0,clock alarm,A small clock with two bells to scare a person awake at a pre-set time. Alarm Clock was approved as part of Unicode 6.0 in 2010 and added to http://emojipedia.org/alarm-clock/
play or pause button,U+23EF,right arrow triangle play pause,"A play-pause icon, showing a right-pointing triangle (play) next to a double vertical bar (pause). Play or Pause Button was approved as part http://emojipedia.org/black-right-pointing-triangle-with-double-vertical-bar/"
last track button,U+23EE,previous track arrow triangle previous scene,Last Track Button was approved as part of Unicode 6.0 in 2010 under the name “Black Left-Pointing Double Triangle With Vertical Bar” and add http://emojipedia.org/black-left-pointing-double-triangle-with-vertical-bar/
next track button,U+23ED,next scene arrow triangle next track,Next Track Button was approved as part of Unicode 6.0 in 2010 under the name “Black Right-Pointing Double Triangle With Vertical Bar” and ad http://emojipedia.org/black-right-pointing-double-triangle-with-vertical-bar/
fast down button,U+23EC,double arrow down,"Two triangles pointing down. Similar to rewind icon, rotated 90° counter-clockwise. Fast Down Button was approved as part of Unicode 6.0 in  http://emojipedia.org/black-down-pointing-double-triangle/"
fast up button,U+23EB,double arrow,"Two triangles pointing up. Similar to rewind icon, rotated 90° clockwise. Fast Up Button was approved as part of Unicode 6.0 in 2010 under t http://emojipedia.org/black-up-pointing-double-triangle/"
fast reverse button,U+23EA,rewind double arrow,"Two triangles pointing to the left. Most commonly used as a symbol for rewinding media such as video tapes, CDs, or digital audio and video. http://emojipedia.org/black-left-pointing-double-triangle/"
fast-forward button,U+23E9,fast forward double arrow,"Two triangles pointing to the right. Most commonly used as a symbol for fast forwarding media such as video tapes, CDs, or digital audio and http://emojipedia.org/black-right-pointing-double-triangle/"
eject button,U+23CF,eject,"An eject symbol, displayed as an upward-pointing triangle above a horiztonal bar. May be used as a physical button or an icon in a user inte http://emojipedia.org/eject-symbol/"
VS button,U+1F19A,versus vs,VS Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Vs” and added to Emoji 1.0 in 2015. Copy and paste this emoji: http://emojipedia.org/squared-vs/
UP! button,U+1F199,up mark,"The word up with an exclamation point after it, shown enclosed in a square. Originally intended to denote leveling up in a game. UP! Button  http://emojipedia.org/squared-up-with-exclamation-mark/"
SOS button,U+1F198,help sos,SOS is the description for the distress signal in Morse Code. This emoji means SOS or “emergency”. SOS Button was approved as part of Unicod http://emojipedia.org/squared-sos/
ID button,U+1F194,identity id,The letters ID in a square. ID Button was approved as part of Unicode 6.0 in 2010 under the name “Squared ID” and added to Emoji 1.0 in 2015 http://emojipedia.org/squared-id/
AB button (blood type),U+1F18E,blood type ab,A symbol representing Blood Type AB. AB Button (blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared AB” http://emojipedia.org/negative-squared-ab/
O button (blood type),U+1F17E,blood type o,A symbol representing Blood Type O. O Button (blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin http://emojipedia.org/negative-squared-latin-capital-letter-o/
B button (blood type),U+1F171,b blood type,A symbol representing Blood Type B. B Button (blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin http://emojipedia.org/negative-squared-latin-capital-letter-b/
A button (blood type),U+1F170,a blood type,A symbol representing Blood Type A. A Button (blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin http://emojipedia.org/negative-squared-latin-capital-letter-a/
hourglass,U+231B,sand timer,"An hourglass, generally shown without flowing sand. This hourglass emoji is used on Snapchat to indicate a Snapstreak is soon to end. Hourgl http://emojipedia.org/hourglass/"
joker,U+1F0CF,wildcard game card,"The joker in a deck of cards, usually appearing like a court jester. Joker was approved as part of Unicode 6.0 in 2010 under the name “Playi http://emojipedia.org/playing-card-black-joker/"
right arrow curving down,U+2935,arrow down,A curved arrow pointing down. Right Arrow Curving Down was approved as part of Unicode 3.2 in 2002 under the name “Arrow Pointing Rightwards http://emojipedia.org/arrow-pointing-rightwards-then-curving-downwards/
right arrow curving up,U+2934,arrow,A curved arrow pointing up. Right Arrow Curving Up was approved as part of Unicode 3.2 in 2002 under the name “Arrow Pointing Rightwards The http://emojipedia.org/arrow-pointing-rightwards-then-curving-upwards/
canoe,U+1F6F6,canoe boat,Canoe was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10.2 http://emojipedia.org/canoe/
motor scooter,U+1F6F5,scooter motor,"A motor scooter, which may be displayed as any type of motorbike with or without a step-through frame. Distinct from the racing motorcycle,  http://emojipedia.org/motor-scooter/"
kick scooter,U+1F6F4,scooter kick,"A non-motorized scooter, with two wheels and handles. Kick Scooter was approved as part of Unicode 9.0 in 2016 under the name “Scooter” and  http://emojipedia.org/scooter/"
passenger ship,U+1F6F3,passenger ship,Passenger Ship was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/passenger-ship/
airplane arrival,U+1F6EC,landing arriving airplane arrivals aeroplane,Airplane Arrival was approved as part of Unicode 7.0 in 2014 under the name “Airplane Arriving” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/airplane-arriving/
airplane departure,U+1F6EB,airplane check-in departures departure aeroplane,Airplane Departure was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/airplane-departure/
small airplane,U+1F6E9,airplane aeroplane,Small Airplane was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/small-airplane/
motor boat,U+1F6E5,motorboat boat,Motor Boat was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/motor-boat/
railway track,U+1F6E4,railway train,Railway Track was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/railway-track/
motorway,U+1F6E3,road highway,A wide road shown from a first person perspective. Apple's artwork displays a road sign to Curpertino. Motorway was approved as part of Unic http://emojipedia.org/motorway/
oil drum,U+1F6E2,drum oil,"A barrell or drum that contains oil. The exterior of this cylinder is shown in blue, with two holes on the top. Oil Drum was approved as par http://emojipedia.org/oil-drum/"
hammer and wrench,U+1F6E0,hammer tool wrench spanner,Hammer and Wrench was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/hammer-and-wrench/
shopping cart,U+1F6D2,trolley shopping cart,Shopping Cart was approved as part of Unicode 9.0 in 2016 under the name “Shopping Trolley” and added to Emoji 3.0 in 2016. Copy and paste t http://emojipedia.org/shopping-trolley/
stop sign,U+1F6D1,sign stop octagonal,"A red, octagonal sign. Used in many countries as a stop sign. Stop Sign was approved as part of Unicode 9.0 in 2016 under the name “Octagona http://emojipedia.org/octagonal-sign/"
place of worship,U+1F6D0,worship religion,"A building used for worship by people of any faith or religion. Examples include a church, mosque, or synagogue. A person is shown on their  http://emojipedia.org/place-of-worship/"
bed,U+1F6CF,sleep hotel,"A comfortable bed, shown with bedposts and a headboard. May be found in a household bedroom, a hotel, or other form of sleeping accommodatio http://emojipedia.org/bed/"
bellhop bell,U+1F6CE,bell bellhop hotel,"A bell used to call attention at a reception or other desk. Goes ""ding!"" or ""tink!"" when pressed. Bellhop Bell was approved as part of Unico http://emojipedia.org/bellhop-bell/"
shopping bags,U+1F6CD,bag shopping hotel,"Bags used for items purchased while shopping. May contain groceries, clothing, or other consumer items. Shopping Bags was approved as part o http://emojipedia.org/shopping-bags/"
person in bed,U+1F6CC,sleep hotel,"A symbol representing accommodation, such as a hostel, hotel, bed & breakfast, or other place to sleep. Shown on most platforms as a person  http://emojipedia.org/sleeping-accommodation/"
couch and lamp,U+1F6CB,couch hotel lamp,"A couch, with a floor lamp next to it. Couch and Lamp was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/couch-and-lamp/"
left luggage,U+1F6C5,luggage baggage locker,An icon representing a place to leave luggage. Most commonly found at Japanese train stations to signify coin lockers where bags can be stor http://emojipedia.org/left-luggage/
baggage claim,U+1F6C4,claim baggage,Baggage Claim was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/baggage-claim/
passport control,U+1F6C2,passport control,A person checking passports at an international border. Passport Control was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0  http://emojipedia.org/passport-control/
person taking bath,U+1F6C0,bathtub bath,"A person enjoying a bath, either with or without a shower over the top. Differs from the Bathtub Emoji, as this is a person bathing “having  http://emojipedia.org/bath/"
water closet,U+1F6BE,water lavatory wc restroom closet,"A water closet is a name used for public toilet, bathroom or restroom used in some countries. Typically abbreviated to the letters WC, this  http://emojipedia.org/water-closet/"
baby symbol,U+1F6BC,baby changing,"The symbol for a baby, usually used to indicate a room that is suitable to change a baby in. Often located in or near public restrooms. Baby http://emojipedia.org/baby-symbol/"
restroom,U+1F6BB,lavatory wc restroom,"A restroom symbol, depicting a iconography of a man and woman. Used to indicate the location of public bathrooms / toilets / restrooms. Used http://emojipedia.org/restroom/"
women’s room,U+1F6BA,lavatory woman wc restroom,"A stick-figure icon of a woman, generally used to indicate a female restroom. The male equivalent is the Mens Symbol emoji. Women’s Room was http://emojipedia.org/womens-symbol/"
men’s room,U+1F6B9,lavatory wc restroom man,"A stick-figure icon of a man, generally used to indicate a male restroom. The female equivalent is the Womens Symbol emoji. Men’s Room was a http://emojipedia.org/mens-symbol/"
children crossing,U+1F6B8,traffic crossing pedestrian child,"A crossing sign for children, usually positioned near schools or other areas that drivers should be cautious of young children in the area.  http://emojipedia.org/children-crossing/"
